MACD_Signal,RSI_Signal,Volume_Signal,Composite_Signal,Ticker
0,0,0,0.0,AAPL
1,0,0,0.5,AAPL
1,0,0,0.5,AAPL
1,0,0,0.5,AAPL
1,0,0,0.5,AAPL
1,0,0,0.5,AAPL
1,0,0,0.5,AAPL
1,0,0,0.5,AAPL
1,0,0,0.5,AAPL
1,0,0,0.5,AAPL
0,0,0,0.0,AAPL
0,0,0,0.0,AAPL
0,0,0,0.0,AAPL
0,1,0,0.3,AAPL
0,0,0,0.0,AAPL
0,0,0,0.0,AAPL
0,0,0,0.0,AAPL
0,0,0,0.0,AAPL
0,0,0,0.0,AAPL
0,0,0,0.0,AAPL
0,0,0,0.0,AAPL
0,0,0,0.0,GOOGL
1,0,0,0.5,GOOGL
1,0,0,0.5,GOOGL
1,0,0,0.5,GOOGL
1,0,0,0.5,GOOGL
1,0,0,0.5,GOOGL
0,0,0,0.0,GOOGL
0,0,0,0.0,GOOGL
0,0,0,0.0,GOOGL
0,0,0,0.0,GOOGL
0,0,0,0.0,GOOGL
0,0,0,0.0,GOOGL
0,0,0,0.0,GOOGL
0,1,0,0.3,GOOGL
0,0,0,0.0,GOOGL
0,0,0,0.0,GOOGL
0,0,0,0.0,GOOGL
1,0,0,0.5,GOOGL
1,0,0,0.5,GOOGL
1,0,0,0.5,GOOGL
1,0,0,0.5,GOOGL
0,0,0,0.0,MSFT
1,0,0,0.5,MSFT
1,0,0,0.5,MSFT
1,0,0,0.5,MSFT
1,0,0,0.5,MSFT
1,0,0,0.5,MSFT
0,0,0,0.0,MSFT
0,0,0,0.0,MSFT
0,0,0,0.0,MSFT
0,0,0,0.0,MSFT
0,0,0,0.0,MSFT
0,0,0,0.0,MSFT
0,0,0,0.0,MSFT
0,1,0,0.3,MSFT
0,0,0,0.0,MSFT
0,0,0,0.0,MSFT
1,0,0,0.5,MSFT
1,0,0,0.5,MSFT
1,0,0,0.5,MSFT
1,0,0,0.5,MSFT
0,0,0,0.0,MSFT
